ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7d
ABAT,1576873,2025-10-16,0,78746.0,10.22,804784.12,1,1,0,Chief Executive Officer,D,0001493152-25-018504,6.130000114440918,-0.027732475223526166
ABAT,1576873,2025-11-10,0,90000.0,4.34,390600.0,0,1,0,,D,0001493152-25-021981,4.645999908447266,-0.18209211640163853
ABAT,1576873,2025-12-04,0,12333.0,4.05,49948.649999999994,1,0,0,Chief Operating Officer,D,0001493152-25-026671,3.75,0.10399996439615886
ABAT,1576873,2025-12-16,0,37600.0,3.97,149272.0,0,1,0,,I,0001493152-25-028370,3.869999885559082,0.04134375425857487
ABAT,1576873,2025-12-16,0,17500.0,3.88,67900.0,1,0,0,Chief Mineral Resource Officer,D,0001493152-25-028372,3.869999885559082,0.04134375425857487
ABCB,351569,2025-12-08,1,307.58,77.22,23751.327599999997,0,1,0,,D,0000351569-25-000043,76.48614719955759,0.017081666320592975
ABCL,1703057,2025-11-26,1,50000.0,3.57,178500.0,0,1,0,,D,0001834423-25-000004,3.640000104904175,0.005494500096186174
ABEO,318306,2025-09-29,0,9366.0,5.39,50482.74,1,0,0,"SVP, Chief Legal Officer",D,0001493152-25-016544,5.440000057220459,-0.033088203390680304
ABEO,318306,2025-09-29,0,19274.0,5.39,103886.86,1,1,0,Chief Executive Officer,D,0001493152-25-016543,5.440000057220459,-0.033088203390680304
ABEO,318306,2025-09-29,0,9035.0,5.39,48698.649999999994,1,0,0,Chief Financial Officer,D,0001493152-25-016542,5.440000057220459,-0.033088203390680304
ABEO,318306,2025-09-30,0,25000.0,5.24,131000.0,1,1,0,Chief Executive Officer,D,0001493152-25-016543,5.300000190734863,0.04339622845213446
ABEO,318306,2025-10-16,0,249.0,5.49,1367.01,1,1,0,Chief Executive Officer,D,0001493152-25-018311,5.570000171661377,-0.012567355386723057
ABEO,318306,2025-11-13,0,15000.0,4.74,71100.0,0,1,0,,D,0001493152-25-023532,4.900000095367432,-0.08979592829731672
ABEO,318306,2025-12-29,0,25000.0,5.31,132750.0,1,1,0,Chief Executive Officer,D,0001493152-25-029384,5.429999828338623,-0.0589318056980725
ABG,1144980,2025-11-25,0,1132.0,235.26,266314.32,1,0,0,SVP & CHRO,D,0001144980-25-000153,224.52999877929688,0.04707614742655659
ABM,771497,2025-10-01,0,3567.0,46.25,164973.75,1,0,0,SVP - Chief Accounting Officer,D,0001225208-25-008428,45.271921110994924,-0.009884511143922994
ABNB,1559720,2025-09-29,0,209614.0,123.49,25885232.86,0,1,0,,I,0001193125-25-226743,124.44000244140625,-0.03379139945802116
ABNB,1559720,2025-09-29,0,586.0,122.96,72054.56,0,1,0,,I,0001193125-25-226743,124.44000244140625,-0.03379139945802116
ABNB,1559720,2025-09-29,0,25800.0,124.26,3205908.0,0,1,0,,I,0001193125-25-226743,124.44000244140625,-0.03379139945802116
ABNB,1559720,2025-10-02,0,600.0,122.47,73482.0,1,0,0,Chief Technology Officer,D,0001193125-25-231859,122.47000122070312,-0.029068323043275553
ABNB,1559720,2025-10-09,0,600.0,120.46,72276.0,1,0,0,Chief Technology Officer,D,0001193125-25-238997,120.45999908447266,0.04690354946721226
ABNB,1559720,2025-10-13,0,185696.0,119.36,22164674.56,0,1,0,,I,0001193125-25-240276,118.91000366210938,0.0808174275871609
ABNB,1559720,2025-10-13,0,50304.0,118.73,5972593.92,0,1,0,,I,0001193125-25-240276,118.91000366210938,0.0808174275871609
ABNB,1559720,2025-10-16,0,600.0,124.26,74556.0,1,0,0,Chief Technology Officer,D,0001193125-25-243554,124.26000213623047,0.031949086778190736
ABNB,1559720,2025-10-23,0,600.0,127.53,76518.0,1,0,0,Chief Technology Officer,D,0001193125-25-251569,127.52999877929688,-0.008390180389446705
ABNB,1559720,2025-10-24,0,12184.0,127.65,1555287.6,1,0,0,Chief Financial Officer,D,0001193125-25-253476,127.6500015258789,-0.016842941638688734
ABNB,1559720,2025-10-27,0,11689.0,126.68,1480762.52,0,1,0,,I,0001193125-25-256523,128.22999572753906,-0.04858454289257291
ABNB,1559720,2025-10-27,0,55133.0,129.14,7119875.619999999,0,1,0,,I,0001193125-25-256523,128.22999572753906,-0.04858454289257291
ABNB,1559720,2025-10-27,0,153474.0,128.46,19715270.040000003,0,1,0,,I,0001193125-25-256523,128.22999572753906,-0.04858454289257291
