ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value
IAUX-WT,2025-12-09,1,20000.0,26000.0,0,1,0,26000.0
ICFI,2025-11-17,1,1000.0,77569.2,0,1,0,77569.2
ICHR,2025-11-17,2,20000.0,298100.0,0,1,0,149050.0
INSE,2025-11-26,2,70000.0,549800.0,1,1,0,274900.0
INSP,2025-04-07,1,5.0,803.62,0,1,0,803.62
LADR,2025-10-15,1,59.02,636.8258,1,0,0,636.8258
LNC-PD,2025-11-12,1,2000.0,84340.0,0,1,0,84340.0
MAA-PI,2025-10-31,1,578.0,74770.08,1,1,0,74770.08
MAA-PI,2025-12-12,1,758.0,99927.14000000001,1,0,0,99927.14000000001
MGEE,2025-12-05,1,270.27,21235.113899999997,0,1,0,21235.113899999997
MPB,2025-09-30,6,893.0,25575.52,0,1,0,4262.586666666667
MPB,2025-10-27,1,2000.0,59020.0,0,1,0,59020.0
MPB,2025-11-19,1,2000.0,56560.0,0,1,0,56560.0
MPLT,2025-10-28,2,6394117.0,108699989.0,0,0,0,54349994.5
MRMD,2025-12-12,1,45455.0,5000.05,1,0,0,5000.05
MSCI,2025-12-05,1,12500.0,6701731.56,1,1,0,6701731.56
MYE,2025-11-03,2,6000.0,103500.0,0,1,0,51750.0
MYE,2025-11-14,1,3000.0,52500.0,1,0,0,52500.0
MYO,2025-11-21,2,11822.0,8571.09,0,1,0,4285.545
NIC,2025-11-04,3,2345.0,272051.2,1,1,0,90683.73333333334
NIC,2025-11-18,1,25.0,3008.75,1,0,0,3008.75
NTRP,2025-11-04,1,33400.0,100200.0,0,1,0,100200.0
NTRSO,2025-11-04,2,4161.0,534464.07,0,1,0,267232.035
NTST,2025-12-19,2,2000.0,34740.0,1,0,0,17370.0
NVCT,2025-10-27,1,154770.0,957083.18,0,0,0,957083.18
NVCT,2025-11-05,3,29000.0,168110.0,1,1,0,56036.666666666664
NYC,2025-12-04,3,6405.0,49506.450000000004,0,0,0,16502.15
NYC,2025-12-29,5,15961.0,128933.96,0,0,0,25786.792
OBK,2025-11-04,10,29668.0,1023668.56,1,1,0,102366.856
OBT,2025-10-31,1,1650.0,39633.0,1,1,0,39633.0
PDYNW,2025-11-21,5,26300.0,142803.0,1,1,0,28560.6
PEB-PH,2025-11-19,1,10000.0,108500.0,0,1,0,108500.0
PEPG,2025-09-30,1,200000.0,640000.0,0,0,0,640000.0
PEW-WT,2025-11-17,1,100000.0,389000.0,1,1,0,389000.0
PFBX,2025-12-17,2,3100.0,62920.0,0,1,0,31460.0
PFLT,2025-12-01,1,5500.0,50050.0,0,1,0,50050.0
