ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7td,excess_return_7td
A,1090872,2025-11-12,0,12490.0,150.0,1873500.0,1,1,0,President and CEO,D,0001090872-25-000039,151.2496795654297,-0.0017819276839812844,0.034407327237589186
A,1090872,2025-11-18,0,911.0,143.24,130491.64000000001,1,1,0,President and CEO,D,0001090872-25-000063,143.5833740234375,0.06715792337415567,0.032133166268870514
A,1090872,2025-11-26,0,3000.0,154.99,464970.0,1,0,0,"V.P., Corporate Controller",D,0001090872-25-000077,154.09458923339844,-0.07728179635822002,-0.0822578485649469
A,1090872,2025-12-01,0,2600.0,149.81,389506.0,0,1,0,,D,0001090872-25-000083,149.83221435546875,-0.044170603429698994,-0.05504016397276777
AAL,6201,2025-12-09,0,62507.0,15.01,938230.07,1,0,0,EVP Chief Operating Officer,D,0001934073-25-000005,15.029999732971191,0.03858948330076902,0.048201340056007874
AAL,6201,2025-12-16,0,25595.0,16.01,409775.95,1,0,0,EVP Chief Operating Officer,D,0001934073-25-000009,15.989999771118164,-0.034396510231869896,-0.053466395831943195
AAOI,1158114,2025-12-10,0,1000.0,35.0,35000.0,1,0,0,Chief Financial Officer,D,0001683168-25-009101,34.97999954223633,-0.10463121484586846,-0.09705424387446271
AAOI,1158114,2025-12-10,0,3000.0,30.4,91200.0,1,0,0,Chief Financial Officer,D,0001683168-25-009101,34.97999954223633,-0.10463121484586846,-0.09705424387446271
AAOI,1158114,2025-12-15,0,4121.0,30.23,124577.83,0,1,0,,D,0001683168-25-009228,29.899999618530273,0.3712374756884811,0.3542874465628489
AAOI,1158114,2025-12-23,0,12500.0,40.15,501875.0,1,0,0,*** See Remarks,D,0001683168-25-009380,40.63999938964844,-0.1390255363197858,-0.13790535259043327
AAON,824142,2025-11-11,0,5770.0,105.21,607061.7,0,1,0,,D,0001642826-25-000006,103.78963470458984,-0.1418671757358084,-0.0969033025483982
AAON,824142,2025-11-11,0,20976.0,105.21,2206884.96,0,1,0,,D,0001642826-25-000006,103.78963470458984,-0.1418671757358084,-0.0969033025483982
AAON,824142,2025-11-12,0,767.0,105.14,80642.38,0,1,0,,D,0001642826-25-000008,101.93161010742188,-0.10309691790203572,-0.06690766298046524
AAON,824142,2025-11-12,0,2786.0,105.14,292920.04,0,1,0,,D,0001642826-25-000008,101.93161010742188,-0.10309691790203572,-0.06690766298046524
AAON,824142,2025-12-11,1,1000.0,82.25,82250.0,1,0,0,Executive Vice President,D,0001757894-25-000005,83.97000122070312,-0.10587113564857939,-0.10260932350178907
AAON,824142,2025-12-12,1,4141.0,77.59,321300.19,1,0,0,Executive Vice President,I,0001757894-25-000005,77.93000030517578,-0.034389840814587895,-0.046455892352020016
AAON,824142,2025-12-12,1,1000.0,80.85,80850.0,1,0,0,Executive Vice President,D,0001757894-25-000005,77.93000030517578,-0.034389840814587895,-0.046455892352020016
AAP,1158449,2025-11-13,0,7662.0,51.0,390762.0,1,0,0,"EVP, Chief HR Officer",D,0001628280-25-052340,49.92375183105469,0.014137770519802079,0.018942247567107634
AAPL,320193,2025-10-02,0,8395.0,254.83,2139297.85,1,1,0,Chief Executive Officer,D,0001214156-25-000011,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,39293.0,256.62,10083369.66,1,1,0,Chief Executive Officer,D,0001214156-25-000011,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,59751.0,257.57,15390065.07,1,1,0,Chief Executive Officer,D,0001214156-25-000011,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,22524.0,255.86,5762990.640000001,1,1,0,Chief Executive Officer,D,0001214156-25-000011,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,1740.0,258.08,449059.19999999995,1,0,0,Senior Vice President,D,0001767094-25-000009,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,41273.0,257.36,10622019.280000001,1,0,0,Senior Vice President,D,0001767094-25-000009,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,3500.0,254.83,891905.0,1,0,0,"SVP, GC and Secretary",D,0001462356-25-000010,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,8100.0,255.96,2073276.0,1,0,0,"SVP, GC and Secretary",D,0001462356-25-000010,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,21551.0,257.54,5550244.54,1,0,0,"SVP, GC and Secretary",D,0001462356-25-000010,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-02,0,13974.0,256.6,3585728.4000000004,1,0,0,"SVP, GC and Secretary",D,0001462356-25-000010,256.6408386230469,-0.0368296045225419,-0.02780105322874403
AAPL,320193,2025-10-16,0,500.0,245.89,122945.0,1,0,0,"Senior Vice President, CFO",D,0002050912-25-000008,246.97926330566406,0.08632040970137649,0.04919750429281077
AAPL,320193,2025-10-16,0,1534.0,247.82,380155.88,1,0,0,"Senior Vice President, CFO",D,0002050912-25-000008,246.97926330566406,0.08632040970137649,0.04919750429281077
AAPL,320193,2025-10-16,0,1665.0,247.04,411321.6,1,0,0,"Senior Vice President, CFO",D,0002050912-25-000008,246.97926330566406,0.08632040970137649,0.04919750429281077
