Model,Train R²,Test R²,Test RMSE,Test MAE,Overfit Gap
Linear Regression,0.046448095751848384,-0.031149690575644984,0.11140186168749991,0.07633419806154684,0.07759778632749337
Ridge Regression,0.04644155858855559,-0.031170453985898128,0.11140298328552505,0.07633457888598777,0.07761201257445371
Random Forest,0.5601466066579537,-0.04050076926505275,0.11190585081805296,0.07402294714241059,0.6006473759230064
Neural Network,0.005469304471548253,-0.08212112112049752,0.11412204033232554,0.07866903861929617,0.08759042559204577
K-Nearest Neighbors,1.0,-0.11872503476139173,0.11603613886483656,0.08038663947302134,1.1187250347613917
SVM (RBF),0.17449471831434227,-0.13694065934302713,0.11697700282452772,0.07834286392396288,0.3114353776573694
Gradient Boosting,0.8181586252353614,-0.14379587775273195,0.11732913103486259,0.07843200478090437,0.9619545029880934
